epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1730.28,0.95476,0.83404,1.4647,0.21929,0.25,0.31893,0.10677,3.33922,107.826,11.3121,0.000827782,0.000827782,0.000827782
44,1768.58,0.70861,0.58618,1.16035,0.07549,0.25,0.05093,0.02182,4.09348,9.5388,6.12154,0.000832902,0.000832902,0.000832902
45,1806.43,0.65021,0.63294,1.2085,0.07549,0.25,0.05093,0.02182,4.09348,9.5388,6.12154,0.000837361,0.000837361,0.000837361
46,1844.87,0.68002,0.57658,1.22824,0.0875,0.5,0.06798,0.01957,3.49874,6.19181,4.86593,0.00084116,0.00084116,0.00084116
47,1883.97,0.64718,0.65371,1.17965,0.0875,0.5,0.06798,0.01957,3.49874,6.19181,4.86593,0.000844299,0.000844299,0.000844299
48,1922.83,0.64559,0.6757,1.24226,0.68439,0.75,0.66292,0.28317,2.21426,2.11377,3.63065,0.000846778,0.000846778,0.000846778
49,1961.96,0.66771,0.65456,1.15726,0.68439,0.75,0.66292,0.28317,2.21426,2.11377,3.63065,0.000848596,0.000848596,0.000848596
50,2001.19,0.68411,0.76233,1.2217,0.70947,0.25,0.37648,0.13652,3.17193,4.75848,5.3226,0.000849755,0.000849755,0.000849755
51,2040.21,0.5945,0.5542,1.13864,0.70947,0.25,0.37648,0.13652,3.17193,4.75848,5.3226,0.000841835,0.000841835,0.000841835
52,2079.01,0.67272,0.67984,1.30407,0.49632,0.75,0.74767,0.34846,2.0981,3.41429,3.26389,0.000825332,0.000825332,0.000825332
53,2117.68,0.58956,0.6618,1.17882,0.49632,0.75,0.74767,0.34846,2.0981,3.41429,3.26389,0.000808828,0.000808828,0.000808828
54,2156.29,0.55913,0.52262,1.17337,0.50171,0.72431,0.5,0.47354,1.43026,192.161,2.58191,0.000792325,0.000792325,0.000792325
55,2195.25,0.53799,0.49197,1.07388,0.50171,0.72431,0.5,0.47354,1.43026,192.161,2.58191,0.000775822,0.000775822,0.000775822
56,2233.99,0.54254,0.51676,1.11369,0.49093,0.75,0.49963,0.47359,1.85688,167.949,3.45574,0.000759318,0.000759318,0.000759318
57,2272.48,0.58423,0.65273,1.16822,0.49093,0.75,0.49963,0.47359,1.85688,167.949,3.45574,0.000742815,0.000742815,0.000742815
58,2312.17,0.56882,0.59707,1.19466,0.49533,0.75,0.5038,0.42498,1.50027,30.4184,2.68641,0.000726312,0.000726312,0.000726312
59,2350.86,0.60481,0.56133,1.15607,0.49533,0.75,0.5038,0.42498,1.50027,30.4184,2.68641,0.000709809,0.000709809,0.000709809
60,2389.78,0.55503,0.62949,1.12369,0.45032,0.75,0.50638,0.42568,1.41494,30.8238,2.48427,0.000693305,0.000693305,0.000693305
